ppm,co2,uv,hum,temp,label
0.74,599,14.21,82,12,1
0.84,586,13.77,82,12,1
0.95,597,14.14,82,12,1
0.95,598,14.18,83,13,1
0.95,551,12.45,83,13,1
0.95,591,13.92,83,13,1
0.84,580,13.52,83,13,1
0.84,576,13.4,83,13,1
0.84,577,13.44,83,13,1
0.84,549,12.38,83,13,1
0.84,562,12.88,83,13,1
0.84,560,12.81,83,13,1
0.95,575,13.33,83,13,1
0.84,581,13.55,83,13,1
0.84,577,13.44,83,13,1
0.84,575,13.36,83,13,1
0.84,576,13.4,83,13,1
0.84,575,13.36,83,13,1
0.95,572,13.25,83,13,1
0.84,570,13.15,83,13,1
0.84,562,12.88,83,13,1
0.84,563,12.92,83,13,1
0.84,554,12.59,82,12,1
0.74,547,12.3,82,12,1
0.74,564,12.96,82,12,1
0.74,565,12.99,82,12,1
0.74,564,12.93,82,12,1
0.84,566,13.03,83,13,1
0.84,561,12.85,83,13,1
0.84,559,12.75,83,13,1
0.74,551,12.48,83,13,1
0.74,561,12.82,83,13,1
0.74,560,12.78,83,13,1
0.84,565,12.97,83,13,1
0.84,565,12.99,83,14,1
0.84,567,13.07,83,14,1
0.84,557,12.67,83,14,1
0.84,564,12.93,83,14,1
0.84,559,12.75,83,14,1
0.84,504,10.73,83,14,1
0.74,513,11.06,83,14,1
0.74,505,10.76,83,14,1
0.74,508,10.87,83,15,1
0.84,510,10.95,83,15,1
0.84,527,11.57,83,15,1
0.95,517,11.2,83,15,1
0.95,521,11.35,83,15,1
0.95,564,12.93,83,15,1
0.84,558,12.71,83,15,1
0.95,552,12.49,83,15,1
0.95,522,11.39,83,15,1
0.84,576,13.37,83,15,1
0.84,578,13.44,83,15,1
0.74,507,10.84,83,15,1
0.74,520,11.31,83,15,1
0.74,538,11.97,83,15,1
0.84,535,11.86,83,15,1
0.84,570,13.15,83,15,1
0.84,519,11.25,83,15,1
0.74,566,13,83,15,1
0.74,556,12.64,83,15,1
0.74,517,11.2,83,15,1
0.74,514,11.09,83,15,1
0.74,566,13,83,15,1
0.74,560,12.78,83,15,1
0.74,545,12.23,83,15,1
0.74,547,12.3,83,15,1
0.74,519,11.28,83,15,1
0.84,516,11.17,83,15,1
0.95,516,11.17,83,15,1
0.84,510,10.95,83,15,1
0.84,516,11.17,83,15,1
0.84,514,11.09,83,15,1
0.84,525,11.5,83,15,1
0.84,559,12.75,83,15,1
0.74,553,12.52,83,15,1
0.74,547,12.3,83,15,1
0.74,549,12.38,83,15,1
0.74,546,12.27,83,15,1
0.74,545,12.23,83,15,1
0.74,547,12.3,83,15,1
0.74,547,12.3,83,15,1
0.74,542,12.12,83,15,1
0.74,544,12.19,83,15,1
0.74,544,12.19,83,15,1
0.74,540,12.05,83,15,1
0.64,539,12.01,83,15,1
0.64,533,11.79,83,15,1
0.64,535,11.86,83,15,1
0.64,539,12.01,83,15,1
0.64,545,12.23,83,14,1
0.64,532,11.75,83,14,1
0.64,530,11.68,83,15,1
0.64,532,11.75,83,15,1
0.64,534,11.83,83,15,1
0.64,538,11.97,83,14,1
0.64,538,11.97,83,14,1
0.64,538,11.97,83,14,1
0.64,535,11.86,83,15,1
0.64,537,11.94,83,15,1
0.64,536,11.9,83,15,1
0.64,536,11.9,83,15,1
0.64,535,11.86,83,14,1
0.64,535,11.86,83,14,1
0.64,537,11.94,83,14,1
0.64,528,11.61,83,14,1
0.56,530,11.68,83,14,1
0.56,529,11.64,83,14,1
0.64,537,11.94,83,14,1
0.64,532,11.75,83,14,1
0.64,528,11.61,83,14,1
0.64,537,11.94,83,14,1
0.64,537,11.94,83,14,1
0.64,534,11.83,83,14,1
0.64,542,12.12,83,14,1
0.64,531,11.72,83,14,1
0.74,531,11.72,83,14,1
0.64,532,11.75,83,14,1
0.64,524,11.46,83,14,1
0.64,520,11.31,83,14,1
0.64,540,12.05,83,14,1
0.64,528,11.61,83,14,1
0.64,528,11.61,83,14,1
0.64,542,12.12,83,14,1
0.64,539,12.01,83,14,1
0.64,540,12.05,83,14,1
0.56,529,11.64,83,14,1
0.56,529,11.64,83,14,1
0.64,528,11.61,83,14,1
0.56,526,11.53,83,14,1
0.64,563,12.89,83,14,1
0.64,556,12.64,83,14,1
0.64,540,12.05,83,14,1
0.64,228,0.59,83,15,1
0.64,228,0.59,83,15,1
0.56,228,0.59,83,15,1
0.56,228,0.59,83,14,1
0.64,228,0.59,83,15,1
0.64,228,0.59,83,15,1
0.56,228,0.59,83,15,1
0.56,228,0.59,83,15,1
0.56,228,0.59,83,15,1
0.56,228,0.59,83,15,1
0.64,228,0.59,83,15,1
0.56,228,0.59,83,15,1
0.56,228,0.59,83,15,1
0.64,229,0.63,83,15,1
0.64,229,0.63,83,15,1
0.64,229,0.63,83,15,1
0.56,229,0.63,83,15,1
0.64,229,0.63,83,15,2
0.56,229,0.63,83,15,2
0.56,229,0.63,83,15,2
0.56,229,0.63,83,15,2
0.56,230,0.67,83,15,2
0.56,229,0.62,83,15,2
0.56,230,0.67,84,16,2
0.56,230,0.67,84,16,2
0.64,230,0.67,84,16,2
0.56,230,0.67,84,16,2
0.64,231,0.7,84,16,2
0.64,231,0.7,84,16,2
0.64,231,0.7,84,16,2
0.64,232,0.74,85,17,2
0.64,232,0.74,85,17,2
0.56,232,0.74,85,17,2
0.56,232,0.74,82,17,2
0.64,232,0.74,81,17,2
0.56,629,15.31,81,17,2
0.56,634,15.5,81,17,2
0.56,625,15.14,81,17,2
0.64,625,15.14,81,17,2
0.64,636,15.54,80,17,2
0.64,627,15.21,79,17,2
0.64,631,15.36,78,17,2
0.64,635,15.5,77,17,2
0.74,635,15.5,76,17,2
0.74,634,15.47,77,17,2
0.64,630,15.32,71,17,2
0.64,632,15.39,66,17,2
0.64,631,15.36,66,17,2
0.64,637,15.58,65,17,2
0.64,639,15.65,64,17,2
0.64,643,15.8,64,17,2
0.64,637,15.58,64,17,2
0.64,626,15.17,64,17,2
0.64,638,15.61,63,17,2
0.64,643,15.8,63,17,2
0.64,641,15.72,63,17,2
0.64,640,15.69,63,17,2
0.56,642,15.76,63,17,2
0.64,640,15.69,63,17,2
0.56,639,15.65,62,17,2
0.56,633,15.43,63,17,2
0.56,636,15.54,63,17,2
0.56,636,15.54,63,17,2
0.64,636,15.54,63,17,2
0.56,630,15.32,63,17,2
0.56,622,15.03,63,17,2
0.64,630,15.32,62,17,2
0.56,630,15.32,62,17,2
0.56,631,15.36,62,17,2
0.64,631,15.36,62,17,2
0.64,631,15.36,62,17,2
0.56,635,15.5,61,17,2
0.56,634,15.47,61,17,2
0.56,634,15.47,61,17,2
0.56,636,15.54,61,17,2
0.56,634,15.47,60,17,2
0.56,625,15.14,60,17,2
0.56,635,15.5,60,17,2
0.56,620,14.95,60,17,2
0.56,620,14.95,60,17,2
0.56,641,15.72,60,17,2
0.56,632,15.39,60,17,2
0.56,628,15.25,60,17,2
0.56,636,15.54,60,17,2
0.56,620,14.95,60,17,2
0.56,623,15.06,60,17,2
0.56,622,15.03,60,17,2
0.56,618,14.88,59,17,2
0.48,619,14.92,59,17,2
0.56,633,15.43,60,17,2
0.56,630,15.32,60,17,2
0.56,633,15.43,60,18,2
0.56,625,15.14,59,18,2
0.64,635,15.5,60,18,2
0.64,634,15.47,61,17,2
0.64,635,15.5,64,17,2
0.64,613,14.7,66,17,2
0.64,608,14.51,67,16,2
0.64,620,14.95,68,16,2
0.64,613,14.7,69,16,2
0.74,620,14.95,67,16,2
0.64,619,14.92,67,16,2
0.74,618,14.88,67,16,2
0.64,620,14.95,67,16,2
0.74,620,14.95,67,17,2
0.74,617,14.84,66,17,2
0.74,621,15.02,66,17,2
0.74,621,14.99,66,17,2
0.74,622,15.03,65,16,2
0.64,621,14.99,66,16,2
0.64,621,14.99,67,16,2
0.64,620,14.98,67,16,2
0.64,620,14.95,68,16,2
0.64,619,14.92,68,16,2
0.64,617,14.84,68,16,2
0.64,617,14.84,68,16,2
0.64,606,14.44,67,16,2
0.64,624,15.1,68,16,2
0.64,622,15.03,68,16,2
0.64,621,14.99,69,16,2
0.64,620,14.95,69,16,2
0.64,634,15.47,70,16,2
0.64,635,15.5,70,16,2
0.64,635,15.5,70,16,2
0.64,635,15.5,71,16,2
0.64,635,15.5,71,16,2
0.64,634,15.47,72,16,2
0.64,632,15.39,72,16,2
